original_path,new_path,original_size_kb,new_size_kb,savings_kb,savings_percent,original_dimensions,new_dimensions,format_action,backup_path,notes
public/assets/ui/streets/streets_gameplay_bg.png,public/assets/ui/streets/streets_gameplay_bg.webp,1957.2,56.2,1901.0,97.1,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/streets/streets_gameplay_bg.png,
public/assets/ui/streets/streets_system_bg.png,public/assets/ui/streets/streets_system_bg.webp,2476.8,104.3,2372.5,95.8,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/streets/streets_system_bg.png,
public/assets/ui/castle/castle_boss_system_bg.png,public/assets/ui/castle/castle_boss_system_bg.webp,2192.0,79.2,2112.8,96.4,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/castle/castle_boss_system_bg.png,
public/assets/ui/castle/castle_clear_bg.png,public/assets/ui/castle/castle_clear_bg.webp,2432.8,125.1,2307.7,94.9,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/castle/castle_clear_bg.png,
public/assets/ui/castle/castle_game_over_bg.png,public/assets/ui/castle/castle_game_over_bg.webp,1910.6,54.5,1856.1,97.1,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/castle/castle_game_over_bg.png,
public/assets/ui/castle/castle_gameplay_bg.png,public/assets/ui/castle/castle_gameplay_bg.webp,1598.4,40.8,1557.6,97.4,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/castle/castle_gameplay_bg.png,
public/assets/ui/castle/castle_system_bg.png,public/assets/ui/castle/castle_system_bg.webp,2111.8,80.1,2031.7,96.2,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/castle/castle_system_bg.png,
public/assets/ui/sonic/sonic_boss_system_bg.png,public/assets/ui/sonic/sonic_boss_system_bg.webp,2243.7,119.0,2124.7,94.7,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/sonic/sonic_boss_system_bg.png,
public/assets/ui/sonic/sonic_clear_bg.png,public/assets/ui/sonic/sonic_clear_bg.webp,1963.0,95.0,1868.0,95.2,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/sonic/sonic_clear_bg.png,
public/assets/ui/sonic/sonic_game_over_bg.png,public/assets/ui/sonic/sonic_game_over_bg.webp,1497.7,20.8,1476.9,98.6,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/sonic/sonic_game_over_bg.png,
public/assets/ui/sonic/sonic_gameplay_bg.png,public/assets/ui/sonic/sonic_gameplay_bg.webp,1780.9,66.6,1714.3,96.3,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/sonic/sonic_gameplay_bg.png,
public/assets/ui/sonic/sonic_system_bg.png,public/assets/ui/sonic/sonic_system_bg.webp,1971.7,95.5,1876.2,95.2,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/sonic/sonic_system_bg.png,
public/assets/ui/outrun/outrun_boss_system_bg.png,public/assets/ui/outrun/outrun_boss_system_bg.webp,2604.8,146.1,2458.7,94.4,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/outrun/outrun_boss_system_bg.png,
